country;indicator;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;;;;;;;;;;;
Saint Pierre and Miquelon;Migrant stock (female), % of population;6.02;8.99;10.58;12.26;13.28;15.04;17.26;20.32;21.59;17.26;15.80;;;;;;;;;;;
Saint Vincent and the Grenadines;Migrant stock (female), % of population;2.94;2.66;2.45;2.25;2.11;2.82;3.81;5.25;6.16;7.13;8.25;;;;;;;;;;;
Samoa;Migrant stock (female), % of population;2.91;2.55;2.20;2.32;2.66;1.50;1.90;2.56;3.04;3.74;4.68;;;;;;;;;;;
San Marino;Migrant stock (female), % of population;53.20;48.26;45.05;44.52;41.91;40.20;38.80;37.31;36.39;40.12;39.38;;;;;;;;;;;
Sao Tome and Principe;Migrant stock (female), % of population;12.11;11.03;9.08;7.89;6.61;5.63;4.72;4.19;3.74;3.35;3.02;;;;;;;;;;;
Saudi Arabia;Migrant stock (female), % of population;1.15;2.34;4.36;8.90;13.89;18.28;19.62;16.89;18.33;18.06;18.46;;;;;;;;;;;
Senegal;Migrant stock (female), % of population;4.58;4.11;3.49;2.60;1.81;2.36;3.45;3.40;2.36;1.98;1.66;;;;;;;;;;;
Seychelles;Migrant stock (female), % of population;1.35;2.19;3.91;4.03;3.97;4.21;4.20;4.62;6.80;8.75;10.97;;;;;;;;;;;
Sierra Leone;Migrant stock (female), % of population;1.42;1.72;2.08;2.41;2.21;2.03;3.10;2.13;1.97;2.65;1.63;;;;;;;;;;;
Singapore;Migrant stock (female), % of population;29.57;26.42;25.01;23.21;22.04;23.81;25.63;31.07;37.60;39.31;45.79;;;;;;;;;;;
slov;Migrant stock (female), % of population;2.70;3.62;4.37;5.29;5.55;5.38;5.79;6.64;7.45;8.41;9.46;;;;;;;;;;;
Socialist Federal Republic of Yugoslavia (former);Migrant stock (female), % of population;0.94;0.92;0.92;1.17;1.55;2.07;4.14;9.15;8.61;8.00;7.42;;;;;;;;;;;
Solomon Islands;Migrant stock (female), % of population;3.10;2.76;2.46;2.13;1.77;1.46;1.37;1.34;1.32;1.25;1.18;;;;;;;;;;;
Somalia;Migrant stock (female), % of population;0.33;0.32;0.31;0.30;22.44;11.07;9.01;0.27;0.25;0.23;0.22;;;;;;;;;;;
South Africa;Migrant stock (female), % of population;3.10;2.74;2.46;2.34;2.29;3.83;2.46;2.03;1.80;2.12;3.10;;;;;;;;;;;
Spain;Migrant stock (female), % of population;0.70;0.86;1.07;1.33;1.66;1.91;2.19;2.67;4.27;10.04;13.31;;;;;;;;;;;
Sri Lanka;Migrant stock (female), % of population;9.86;9.05;8.63;6.45;4.46;3.09;2.67;2.33;2.09;1.85;1.63;;;;;;;;;;;
Sudan;Migrant stock (female), % of population;1.95;1.73;1.85;1.84;3.45;5.72;4.59;3.51;2.38;1.61;1.69;;;;;;;;;;;
Suriname;Migrant stock (female), % of population;7.34;5.42;4.11;3.57;3.04;3.67;4.16;4.76;5.45;6.22;6.85;;;;;;;;;;;
Swaziland;Migrant stock (female), % of population;4.57;8.26;7.22;5.32;5.33;5.17;7.27;3.26;3.10;3.16;3.14;;;;;;;;;;;
Sweden;Migrant stock (female), % of population;4.35;5.38;6.65;7.19;7.72;8.08;9.25;10.49;11.54;12.69;14.57;;;;;;;;;;;
Switzerland;Migrant stock (female), % of population;13.86;15.54;18.08;17.46;17.02;18.43;19.91;20.31;21.14;21.72;22.55;;;;;;;;;;;
Syrian Arab Republic;Migrant stock (female), % of population;5.95;5.84;5.65;5.58;5.43;5.69;5.33;5.50;5.52;6.85;9.69;;;;;;;;;;;
Thailand;Migrant stock (female), % of population;1.28;0.96;0.73;0.68;0.89;0.69;0.64;0.86;1.21;1.42;1.62;;;;;;;;;;;
Timor-Leste;Migrant stock (female), % of population;1.33;1.33;1.33;1.30;1.32;1.27;1.25;1.19;1.21;1.29;1.27;;;;;;;;;;;
Togo;Migrant stock (female), % of population;6.58;7.21;6.92;6.17;5.55;4.72;4.17;3.83;3.36;3.04;2.72;;;;;;;;;;;
Tokelau;Migrant stock (female), % of population;5.76;6.19;7.62;8.62;10.93;13.26;14.98;16.49;16.54;21.89;22.72;;;;;;;;;;;
Tonga;Migrant stock (female), % of population;0.16;0.26;0.43;0.90;1.73;3.56;3.13;2.22;1.60;1.13;0.80;;;;;;;;;;;
Trinidad and Tobago;Migrant stock (female), % of population;9.51;7.89;6.35;6.18;5.84;4.95;4.38;3.82;3.39;3.02;2.69;;;;;;;;;;;
Tunisia;Migrant stock (female), % of population;4.13;1.75;1.04;0.71;0.61;0.53;0.47;0.42;0.38;0.35;0.32;;;;;;;;;;;
Turkey;Migrant stock (female), % of population;3.28;2.89;0.96;0.30;1.69;1.83;2.09;2.05;1.99;1.96;1.95;;;;;;;;;;;
Turks and Caicos Islands;Migrant stock (female), % of population;2.76;4.61;7.62;10.74;15.27;25.55;43.84;34.58;29.47;19.07;18.54;;;;;;;;;;;
Tuvalu;Migrant stock (female), % of population;4.98;4.39;4.04;3.79;3.55;3.24;3.06;2.44;1.96;1.60;1.29;;;;;;;;;;;
Uganda;Migrant stock (female), % of population;9.35;9.01;7.84;5.82;4.58;3.84;2.92;3.05;2.55;2.27;1.91;;;;;;;;;;;
United Arab Emirates;Migrant stock (female), % of population;0.74;6.44;13.78;39.70;55.71;58.35;68.13;61.48;60.79;60.71;58.30;;;;;;;;;;;
United Kingdom of Great Britain and Northern Ireland;Migrant stock (female), % of population;2.99;4.49;5.08;5.43;5.84;6.21;6.55;7.36;8.39;10.09;10.96;;;;;;;;;;;
United Republic of Tanzania;Migrant stock (female), % of population;4.18;3.73;3.38;3.52;2.81;2.41;2.21;3.72;2.61;2.04;1.47;;;;;;;;;;;
United States of America;Migrant stock (female), % of population;5.88;5.80;5.85;6.60;7.42;8.27;9.15;10.49;11.97;12.82;13.25;;;;;;;;;;;
United States Virgin Islands;Migrant stock (female), % of population;36.60;41.57;54.12;48.24;49.95;48.83;51.08;51.23;52.82;54.54;57.25;;;;;;;;;;;
Uruguay;Migrant stock (female), % of population;7.25;7.05;5.65;4.69;4.10;3.58;3.28;3.01;2.79;2.64;2.47;;;;;;;;;;;
Vanuatu;Migrant stock (female), % of population;3.58;3.40;3.40;3.23;2.80;1.94;1.34;0.92;0.66;0.46;0.32;;;;;;;;;;;
Venezuela (Bolivarian Republic of);Migrant stock (female), % of population;5.20;5.22;5.06;5.46;6.16;5.83;5.18;4.62;4.17;3.80;3.49;;;;;;;;;;;
Viet Nam;Migrant stock (female), % of population;0.01;0.01;0.01;0.01;0.06;0.04;0.04;0.04;0.05;0.05;0.06;;;;;;;;;;;
Wallis and Futuna Islands;Migrant stock (female), % of population;0.39;0.64;1.24;2.21;3.36;5.15;9.23;11.48;13.51;15.78;17.92;;;;;;;;;;;
Western Sahara;Migrant stock (female), % of population;2.99;2.48;2.05;1.94;1.43;1.30;1.17;1.07;0.97;0.83;0.76;;;;;;;;;;;
Yemen;Migrant stock (female), % of population;2.36;2.36;2.36;2.35;2.36;2.09;2.15;1.89;1.76;1.68;1.65;;;;;;;;;;;
Zambia;Migrant stock (female), % of population;11.07;8.62;6.89;5.71;4.56;3.97;3.42;2.89;3.34;2.41;1.74;;;;;;;;;;;
Zimbabwe;Migrant stock (female), % of population;4.96;6.11;7.23;5.92;4.86;4.37;4.51;2.76;2.45;2.30;2.16;;;;;;;;;;;
